aa:meaning ofaa
orators:meaning oforators
oratory:meaning oforatory
oratress:meaning oforatress
oratrix:meaning oforatrix
orb:meaning oforb
orbed:meaning oforbed
orbier:meaning oforbier
orbiest:meaning oforbiest
orbing:meaning oforbing
orbit:meaning oforbit
orbital:meaning oforbital
orbitals:meaning oforbitals
orbited:meaning oforbited
orbiter:meaning oforbiter
orbiters:meaning oforbiters
orbiting:meaning oforbiting
orbits:meaning oforbits
orbs:meaning oforbs
orby:meaning oforby
orc:meaning oforc
orca:meaning oforca
orcas:meaning oforcas
orcein:meaning oforcein
outsaw:meaning ofoutsaw
outscold:meaning ofoutscold
outscoop:meaning ofoutscoop
outscore:meaning ofoutscore
outscorn:meaning ofoutscorn
outsee:meaning ofoutsee
outseen:meaning ofoutseen
outsees:meaning ofoutsees
outsell:meaning ofoutsell
outsells:meaning ofoutsells
outsert:meaning ofoutsert
outserts:meaning ofoutserts
outserve:meaning ofoutserve
outset:meaning ofoutset
outsets:meaning ofoutsets
outshame:meaning ofoutshame
outshine:meaning ofoutshine
outshone:meaning ofoutshone
outshoot:meaning ofoutshoot
outshot:meaning ofoutshot
outshout:meaning ofoutshout
outside:meaning ofoutside
outsider:meaning ofoutsider
outsides:meaning ofoutsides
outsight:meaning ofoutsight
outsin:meaning ofoutsin
outsing:meaning ofoutsing
outsings:meaning ofoutsings
outsins:meaning ofoutsins
outsit:meaning ofoutsit
outsits:meaning ofoutsits
outsize:meaning ofoutsize
outsized:meaning ofoutsized
outsizes:meaning ofoutsizes
outskate:meaning ofoutskate
outskirt:meaning ofoutskirt
outsleep:meaning ofoutsleep
outslept:meaning ofoutslept
outslick:meaning ofoutslick
outsmart:meaning ofoutsmart
outsmile:meaning ofoutsmile
outsmoke:meaning ofoutsmoke
outsnore:meaning ofoutsnore
outsoar:meaning ofoutsoar
outsoars:meaning ofoutsoars
outsold:meaning ofoutsold
outsole:meaning ofoutsole
outsoles:meaning ofoutsoles
outspan:meaning ofoutspan
outspans:meaning ofoutspans
outspeak:meaning ofoutspeak
outsped:meaning ofoutsped
outspeed:meaning ofoutspeed
outspell:meaning ofoutspell
outspelt:meaning ofoutspelt
outspend:meaning ofoutspend
outspent:meaning ofoutspent
outspoke:meaning ofoutspoke
outstand:meaning ofoutstand
outstare:meaning ofoutstare
outstart:meaning ofoutstart
outstate:meaning ofoutstate
outstay:meaning ofoutstay
outstays:meaning ofoutstays
outsteer:meaning ofoutsteer
outstood:meaning ofoutstood
outstrip:meaning ofoutstrip
outstudy:meaning ofoutstudy
outstunt:meaning ofoutstunt
outsulk:meaning ofoutsulk
outsulks:meaning ofoutsulks
outsung:meaning ofoutsung
outswam:meaning ofoutswam
outsware:meaning ofoutsware
outswear:meaning ofoutswear
outswim:meaning ofoutswim
outswims:meaning ofoutswims
outswore:meaning ofoutswore
outsworn:meaning ofoutsworn
outswum:meaning ofoutswum
outtake:meaning ofouttake
outtakes:meaning ofouttakes
outtalk:meaning ofouttalk
outtalks:meaning ofouttalks
outtask:meaning ofouttask
outtasks:meaning ofouttasks
outtell:meaning ofouttell
outtells:meaning ofouttells
outthank:meaning ofoutthank
outthink:meaning ofoutthink
outthrew:meaning ofoutthrew
outthrob:meaning ofoutthrob
outthrow:meaning ofoutthrow
outtold:meaning ofouttold
outtower:meaning ofouttower
outtrade:meaning ofouttrade
outtrick:meaning ofouttrick
outtrot:meaning ofouttrot
outtrots:meaning ofouttrots
outtrump:meaning ofouttrump
outturn:meaning ofoutturn
outturns:meaning ofoutturns
outvalue:meaning ofoutvalue
outvaunt:meaning ofoutvaunt
outvie:meaning ofoutvie
outvied:meaning ofoutvied
outvies:meaning ofoutvies
outvoice:meaning ofoutvoice
outvote:meaning ofoutvote
outvoted:meaning ofoutvoted
outvotes:meaning ofoutvotes
outvying:meaning ofoutvying
outwait:meaning ofoutwait
outwaits:meaning ofoutwaits
outwalk:meaning ofoutwalk
outwalks:meaning ofoutwalks
outwar:meaning ofoutwar
outward:meaning ofoutward
outwards:meaning ofoutwards
outwars:meaning ofoutwars
outwash:meaning ofoutwash
outwaste:meaning ofoutwaste
outwatch:meaning ofoutwatch
outwear:meaning ofoutwear
outwears:meaning ofoutwears
outweary:meaning ofoutweary
outweep:meaning ofoutweep
outweeps:meaning ofoutweeps
outweigh:meaning ofoutweigh
